Date,Headline,Predicted Sentiment
2024-07-24,At The Money: Behavior Beats Intelligence,neutral
2024-07-24,Two Important Lessons From Professional Traders,neutral
2024-07-24,Empire of Lies,negative
2024-07-24,Heavy selling in Nasdaq and S&P as Semiconductors crushed,negative
2024-07-24,The Markets Are Speaking Up Via The $VIX...I Am Listening Closely,neutral
2024-07-25,Thursday links: meaningful days,neutral
2024-07-25,Macro Briefing: 25 July 2024,neutral
2024-07-25,Is The Latest Surge In Stock Market Volatility Noise Or Signal?,neutral
2024-07-25,Worst. President. Ever. And It Ain’t Biden…,negative
2024-07-25,Biden’s Wrong About America,negative
2024-07-26,“It Can’t Happen Here”,neutral
2024-07-26,Friday links: witnessing reality,neutral
2024-07-26,"Today on Trends with Friends - The Technology Pullback, Meta's Smart Glasses, CrowdStrike's Glitch, and the DGEN Economy",neutral
2024-07-26,"MiB: Natalie Wolfson, Orion CEO",neutral
2024-07-26,Strong US GDP Rise For Q2 Derails Recession Forecasts… Again,positive
2024-07-26,Macro Briefing: 26 July 2024,neutral
2024-07-26,Podcast links: cultivating curiosity,neutral
2024-07-27,Trump to Build a “National Bitcoin Stockpile” in his America First Agenda,neutral
2024-07-27,Arson Wildfire in CA Spreading at Average Pace of 60 Football Fields Per Minute,negative
2024-07-27,Saturday links: raising aggrieved kids,neutral
2024-07-27,“I Fear for Our Nation”,negative
2024-07-27,"EWY Set To Gain From Current Semiconductor Upcycle Led By SK Hynix, Samsung",positive
2024-07-27,Book Bits: 27 July 2024,neutral
2024-07-27,"CNX Resources: Low Natural Gas Prices Still Dragging On Results, No Near-Term Catalyst",negative
2024-07-28,Janet Yellen Seeks $78 Trillion to Fight Climate Change,neutral
2024-07-28,I-15 Reopens After Lithium Battery Fire Trapped Drivers for Many Hours,neutral
2024-07-28,"S&P finds weekly support, but Friday's buying lacked confdence",neutral
2024-07-28,Sunday Night Futures,neutral
2024-07-28,Sunday links: policy blunders,neutral
2024-07-28,The Biden-Harris $40 Billion High Speed Internet Plan Connected Nobody,negative
2024-07-28,Sunday Reads And Listens...No Good Choices ...I Am A Never Trumper Turning Into A Never Democrat,negative
2024-07-28,Finding Our Greatness,positive
2024-07-28,Top clicks this week on Abnormal Returns,neutral
2024-07-28,Great News For Income Investors,positive
2024-07-28,iShares Biotechnology ETF: Significant Upside Potential As Sector Gains Momentum,positive
2024-07-29,Perceived Inflation and the Perceived Effect of Inflation,neutral
2024-07-29,Artificial Intelligence For Dummies,neutral
2024-07-29,"Tuesday: Case-Shiller House Prices, Job Openings",neutral
2024-07-29,Obama’s Fourth Term,neutral
2024-07-29,"Fannie and Freddie: Single Family Serious Delinquency Rate Mostly Unchanged in June, Multi-family Increased",neutral
2024-07-29,Marx’s Fetters and the Realm of Freedom: a remedial reading — part 2.0,neutral
2024-07-29,"BuzzFeed: The Highly Favorable High-Frequency Data, Hiding In Plain Sight",positive
2024-07-29,Welcome to Kamalot (Accompanied with Massive Coconut Giggles),positive
2024-07-29,Monday links: desperate needs,negative
